q10,q11,q12,q13,q14,q21,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q38,q42,q43,q44,q45,q48,q71,q72,q73,q74,q76,q77,q78,q79,q80,q81,q23,q37,q39,q40,q41,q47,q49,q50,q15,q16,q17,q18,q82,q83,q84,q86,q87,q88,q51,q52,q53,q54,q55,q56,q85,q89,q90,q22,q57,q46,q59,q58,q20,q91,q63,q64,q65,q66,q67,q68,q69,q70,q19,q92,q75,q61,q60,q62,q93,q94
3,NA,NA,5,NA,5,1,NA,3,1,1,NA,NA,1,NA,3,5,NA,2,NA,5,3,3,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,3,5,5,1,3,1,5,1,5,5,5,5,4,4,5,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,2,3,NA,3,3,2,NA,NA,3,NA,3,2,NA,3,NA,3,3,2,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,3,NA,3,2,NA,3,3,2,NA,NA,3,NA,3,3,NA,2,NA,5,3,2,NA,NA,3,NA,NA,NA,NA,NA,4,NA,4,NA,3,4,3,3,3,2,2,1,1,1,2,1,4,3,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,1,NA,1,1,NA,3,1,1,NA,NA,2,NA,3,3,NA,1,NA,1,3,2,NA,NA,4,NA,NA,NA,NA,NA,1,NA,2,NA,1,1,2,1,2,1,4,1,1,1,1,2,1,2,3,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,1,1,NA,1,1,3,NA,NA,2,NA,1,3,NA,4,NA,3,2,3,NA,NA,3,NA,NA,NA,NA,NA,2,NA,4,NA,2,4,1,4,3,1,1,1,3,5,3,1,1,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,3,2,NA,5,2,2,NA,NA,3,NA,3,3,NA,4,NA,3,3,3,NA,NA,3,NA,NA,NA,NA,NA,4,NA,4,NA,3,5,1,3,2,1,3,2,1,3,3,3,4,3,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,2,NA,1,1,NA,1,1,2,NA,NA,4,NA,2,2,NA,5,NA,3,3,2,NA,NA,5,NA,NA,NA,NA,NA,1,NA,4,NA,2,2,4,2,2,2,4,2,3,5,2,2,2,2,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,2,NA,1,1,NA,2,1,1,NA,NA,2,NA,3,4,NA,2,NA,4,3,2,NA,NA,4,NA,NA,NA,NA,NA,4,NA,4,NA,1,2,1,3,2,1,3,1,1,3,1,2,3,4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,2,NA,3,2,NA,5,2,5,NA,NA,4,NA,1,1,NA,1,NA,4,4,2,NA,NA,3,NA,NA,NA,NA,NA,2,NA,4,NA,2,4,2,4,3,2,1,1,2,4,3,3,4,2,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,1,1,NA,3,3,3,NA,NA,5,NA,3,3,NA,4,NA,3,3,3,NA,NA,4,NA,NA,NA,NA,NA,3,NA,4,NA,1,5,3,5,3,3,3,2,1,2,3,2,3,3,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,1,NA,1,1,NA,1,3,3,NA,NA,1,NA,3,3,NA,1,NA,1,1,3,NA,NA,3,NA,NA,NA,NA,NA,5,NA,1,NA,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,3,3,NA,3,3,3,NA,NA,3,NA,3,3,NA,3,NA,3,3,3,NA,NA,2,NA,NA,NA,NA,NA,4,NA,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,5,NA,1,2,NA,4,1,1,NA,NA,1,NA,1,1,NA,1,NA,5,1,2,NA,NA,3,NA,NA,NA,NA,NA,2,NA,5,NA,2,1,5,2,1,1,1,1,2,3,2,1,1,1,1,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,4,5,NA,5,2,4,NA,NA,3,NA,4,4,NA,2,NA,4,3,2,NA,NA,4,NA,NA,NA,NA,NA,3,NA,4,NA,4,4,5,5,3,2,4,4,2,3,3,2,4,3,4,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,2,NA,2,2,NA,3,1,2,NA,NA,3,NA,2,2,NA,2,NA,2,4,3,NA,NA,4,NA,NA,NA,NA,NA,2,NA,3,NA,2,3,3,2,2,2,4,1,2,2,3,2,3,3,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,1,NA,1,1,NA,5,1,3,NA,NA,1,NA,3,1,NA,1,NA,5,5,1,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,1,1,2,1,NA,1,1,1,1,3,3,5,1,1,1,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,2,NA,3,3,NA,2,2,2,NA,NA,3,NA,3,2,NA,3,NA,4,3,2,NA,NA,2,NA,NA,NA,NA,NA,4,NA,4,NA,4,2,1,3,3,1,4,2,3,4,2,2,3,2,1,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,4,NA,1,1,NA,1,1,2,NA,NA,5,NA,2,4,NA,5,NA,1,4,5,NA,NA,4,NA,NA,NA,NA,NA,1,NA,5,NA,1,5,1,5,1,1,2,1,4,5,5,1,1,5,2,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,4,NA,3,3,NA,3,2,2,NA,NA,4,NA,2,1,NA,2,NA,3,3,2,NA,NA,4,NA,NA,NA,NA,NA,3,NA,3,NA,3,2,3,2,2,1,3,3,1,3,2,2,2,4,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,3,NA,1,1,NA,1,1,2,NA,NA,1,NA,1,1,NA,1,NA,1,2,5,NA,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,4,1,1,1,1,3,2,5,1,1,3,3,1,1,1,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,1,1,NA,1,3,2,NA,NA,4,NA,5,3,NA,5,NA,4,3,1,NA,NA,2,NA,NA,NA,NA,NA,3,NA,5,NA,3,5,3,3,3,3,3,2,3,3,3,1,3,4,3,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,1,2,NA,5,1,1,NA,NA,2,NA,4,5,NA,5,NA,1,4,2,NA,NA,4,NA,NA,NA,NA,NA,1,NA,2,NA,2,4,1,1,3,1,4,1,2,1,1,2,1,3,3,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,3,NA,3,2,NA,4,2,2,NA,NA,3,NA,2,2,NA,3,NA,4,3,3,NA,NA,4,NA,NA,NA,NA,NA,2,NA,4,NA,3,4,2,3,2,2,3,2,1,2,2,2,3,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,2,NA,2,1,NA,4,2,3,NA,NA,3,NA,3,2,NA,2,NA,4,4,3,NA,NA,3,NA,NA,NA,NA,NA,2,NA,4,NA,2,4,4,2,2,2,2,4,1,2,2,1,2,2,4,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,1,NA,2,3,NA,3,2,2,NA,NA,4,NA,3,2,NA,2,NA,3,4,4,NA,NA,4,NA,NA,NA,NA,NA,1,NA,5,NA,2,4,2,2,2,1,4,2,1,2,3,1,2,2,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,1,NA,2,1,NA,1,1,1,NA,NA,3,NA,3,3,NA,1,NA,1,5,1,NA,NA,4,NA,NA,NA,NA,NA,2,NA,4,NA,1,1,1,1,1,1,1,1,1,3,3,2,1,1,2,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,2,NA,3,4,NA,NA,1,3,NA,NA,4,NA,2,1,NA,2,NA,4,2,3,NA,NA,4,NA,NA,NA,NA,NA,1,NA,3,NA,3,2,4,2,3,2,2,2,4,3,3,2,3,2,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,3,NA,4,3,NA,2,2,3,NA,NA,4,NA,NA,3,NA,2,NA,2,4,4,NA,NA,4,NA,NA,NA,NA,NA,2,NA,4,NA,2,2,2,3,3,3,3,2,4,4,4,3,4,4,5,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,2,1,NA,4,2,2,NA,NA,3,NA,3,2,NA,2,NA,1,4,2,NA,NA,3,NA,NA,NA,NA,NA,2,NA,4,NA,2,2,2,3,2,2,3,2,3,2,2,2,2,2,3,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,3,NA,4,4,NA,3,3,4,NA,NA,4,NA,2,2,NA,4,NA,4,3,3,NA,NA,4,NA,NA,NA,NA,NA,4,NA,4,NA,4,4,2,5,3,3,4,3,2,3,3,4,4,4,5,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,3,2,NA,3,2,3,NA,NA,4,NA,3,3,NA,3,NA,3,2,2,NA,NA,4,NA,NA,NA,NA,NA,3,NA,3,NA,3,4,3,3,3,2,4,3,3,3,3,3,2,2,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,2,3,NA,3,3,2,NA,NA,4,NA,3,2,NA,4,NA,3,3,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,5,NA,3,4,2,4,3,2,3,3,3,3,3,1,2,4,3,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,3,4,NA,3,3,2,NA,NA,5,NA,3,2,NA,5,NA,4,3,2,NA,NA,3,NA,NA,NA,NA,NA,3,NA,4,NA,3,1,1,3,1,3,2,2,2,2,3,1,2,3,4,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,2,3,NA,4,2,3,NA,NA,5,NA,2,2,NA,2,NA,2,4,2,NA,NA,5,NA,NA,NA,NA,NA,2,NA,2,NA,3,4,1,3,3,1,2,1,2,5,3,1,3,4,5,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2,NA,1,2,NA,3,2,3,NA,NA,4,NA,2,3,NA,3,NA,3,3,1,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,3,4,1,3,NA,2,2,1,3,NA,NA,1,2,3,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,2,NA,2,2,NA,2,1,2,NA,NA,3,NA,1,1,NA,3,NA,1,4,1,NA,NA,4,NA,NA,NA,NA,NA,1,NA,5,NA,2,3,2,3,1,1,3,2,3,1,1,3,1,3,3,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,4,NA,3,2,NA,2,2,3,NA,NA,4,NA,2,2,NA,4,NA,2,3,4,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,3,4,3,3,3,2,2,2,2,3,3,2,2,2,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,5,NA,5,5,NA,4,3,3,NA,NA,4,NA,3,4,NA,5,NA,3,3,4,NA,NA,4,NA,NA,NA,NA,NA,2,NA,4,NA,5,5,3,5,3,3,5,5,5,5,5,5,4,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,5,NA,5,5,NA,5,3,2,NA,NA,2,NA,3,2,NA,3,NA,1,5,5,NA,NA,5,NA,NA,NA,NA,NA,3,NA,5,NA,5,5,1,5,3,3,5,5,3,3,4,5,1,1,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,3,4,NA,4,2,4,NA,NA,4,NA,2,3,NA,5,NA,3,4,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,3,NA,3,5,3,3,3,2,2,2,3,3,3,2,2,2,2,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,3,3,NA,3,3,3,NA,NA,3,NA,3,3,NA,3,NA,3,3,3,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,1,NA,1,1,NA,2,1,2,NA,NA,2,NA,2,2,NA,3,NA,2,3,2,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,1,3,2,3,1,1,3,1,1,2,2,2,2,2,2,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,1,NA,1,1,NA,2,1,1,NA,NA,1,NA,2,2,NA,1,NA,1,2,3,NA,NA,4,NA,NA,NA,NA,NA,4,NA,2,NA,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,3,NA,3,3,NA,3,3,3,NA,NA,4,NA,2,2,NA,4,NA,4,2,2,NA,NA,3,NA,NA,NA,NA,NA,2,NA,4,NA,3,4,2,3,2,2,3,1,3,2,2,1,3,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,3,2,NA,3,2,2,NA,NA,4,NA,4,3,NA,2,NA,2,3,4,NA,NA,4,NA,NA,NA,NA,NA,2,NA,4,NA,2,3,1,3,1,2,4,2,2,3,2,2,2,4,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,2,NA,1,2,NA,2,3,2,NA,NA,2,NA,3,1,NA,5,NA,5,3,1,NA,NA,4,NA,NA,NA,NA,NA,1,NA,5,NA,3,5,3,4,1,1,1,2,1,2,2,1,1,4,2,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,5,NA,2,4,NA,4,3,2,NA,NA,5,NA,3,2,NA,5,NA,5,3,2,NA,NA,3,NA,NA,NA,NA,NA,3,NA,5,NA,3,5,1,2,3,3,2,3,1,3,3,1,2,2,3,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,1,1,NA,1,1,1,NA,NA,3,NA,2,2,NA,2,NA,3,3,3,NA,NA,4,NA,NA,NA,NA,NA,2,NA,4,NA,1,2,3,2,3,1,3,2,2,NA,3,2,4,2,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,3,3,NA,3,3,3,NA,NA,3,NA,1,1,NA,5,NA,5,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,3,NA,3,5,3,3,3,1,1,3,3,3,3,3,3,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,1,1,NA,3,1,2,NA,NA,4,NA,2,2,NA,2,NA,4,3,3,NA,NA,4,NA,NA,NA,NA,NA,1,NA,3,NA,1,3,4,3,3,1,2,1,2,3,3,3,3,3,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,1,NA,4,NA,NA,3,1,5,NA,NA,5,NA,3,NA,NA,5,NA,5,5,1,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,2,NA,3,1,2,3,NA,3,NA,1,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,3,NA,1,3,NA,4,1,4,NA,NA,5,NA,2,1,NA,5,NA,4,2,4,NA,NA,3,NA,NA,NA,NA,NA,2,NA,3,NA,2,5,1,1,2,1,3,2,1,1,2,3,1,2,3,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,3,3,NA,3,2,2,NA,NA,3,NA,4,3,NA,1,NA,3,4,2,NA,NA,5,NA,NA,NA,NA,NA,2,NA,4,NA,2,2,2,4,3,1,4,3,3,2,4,2,4,3,5,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,5,NA,2,1,NA,1,2,1,NA,NA,1,NA,5,5,NA,5,NA,5,2,3,NA,NA,3,NA,NA,NA,NA,NA,5,NA,3,NA,2,5,NA,1,2,NA,1,1,1,NA,NA,1,1,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,2,NA,1,1,NA,2,1,2,NA,NA,4,NA,4,2,NA,1,NA,1,4,3,NA,NA,3,NA,NA,NA,NA,NA,1,NA,4,NA,1,2,4,1,2,1,2,3,2,2,4,2,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,2,NA,2,1,NA,3,1,2,NA,NA,2,NA,3,4,NA,2,NA,1,2,2,NA,NA,3,NA,NA,NA,NA,NA,2,NA,2,NA,2,2,2,2,1,1,1,1,2,3,3,1,1,2,1,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,1,NA,NA,3,NA,NA,NA,4,NA,1,1,NA,2,NA,3,3,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,5,NA,NA,4,5,NA,3,NA,1,2,NA,3,NA,NA,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,3,2,NA,3,3,3,NA,NA,4,NA,2,2,NA,3,NA,2,4,4,NA,NA,3,NA,NA,NA,NA,NA,3,NA,4,NA,3,4,NA,2,2,2,2,2,2,3,3,2,2,3,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,3,2,NA,3,3,3,NA,NA,3,NA,2,3,NA,2,NA,3,3,3,NA,NA,3,NA,NA,NA,NA,NA,4,NA,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,2,2,NA,4,2,2,NA,NA,3,NA,2,3,NA,3,NA,3,3,2,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,2,3,3,2,2,2,3,2,2,3,2,2,4,3,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,3,NA,3,2,NA,1,1,5,NA,NA,5,NA,1,1,NA,1,NA,4,3,2,NA,NA,4,NA,NA,NA,NA,NA,3,NA,5,NA,4,1,3,3,1,1,3,2,3,3,3,2,2,2,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,3,NA,2,2,NA,4,3,4,NA,NA,2,NA,2,2,NA,4,NA,4,2,2,NA,NA,4,NA,NA,NA,NA,NA,5,NA,4,NA,2,5,4,4,3,4,4,2,4,4,3,1,2,2,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
